location,location_type,total_jobs_added_2008_2018,jobs_per_1_000_residents_2008_2018,total_building_permits_2008_2018,permits_per_1_000_residents_2008_2018,jobs_per_permit_2008_2018,multi_family_permit_share_1990_2005,multi_family_permit_share_2006_2018,average_size_of_multi_family_properties_1990_2005,average_size_of_multi_family_properties_2006_2018
"Lauderdale County, MS",County,-3181,-4.1,1002,1.3,-3.2,41.5%,4.8%,7,4.7
"Lee County, MS",County,3481,4.1,1476,1.7,2.4,18.6%,12.3%,3.2,13.4
"Leflore County, MS",County,-850,-2.8,113,0.4,-7.5,66.4%,46.4%,6.9,16.6
"Lincoln County, MS",County,637,1.8,94,0.3,6.8,17.9%,0.0%,2,NA
"Lowndes County, MS",County,-357,-0.6,1349,2.3,-0.3,11.8%,20.5%,3.9,4.7
"Madison County, MS",County,13197,12.9,6620,6.5,2,16.4%,4.8%,12.1,6.8
"Oktibbeha County, MS",County,1942,3.9,1265,2.6,1.5,69.2%,59.2%,6.8,8.9
"Pearl River County, MS",County,19,0,2057,3.7,0,6.0%,15.6%,4.7,3.4
"Pike County, MS",County,-1019,-2.6,899,2.3,-1.1,28.9%,91.8%,2.4,12.6
"Pontotoc County, MS",County,1823,5.9,331,1.1,5.5,25.2%,45.5%,4,8.8
"Rankin County, MS",County,5435,3.6,5569,3.7,1,15.1%,0.8%,9.3,3.5
"Simpson County, MS",County,-302,-1.1,254,0.9,-1.2,17.9%,5.2%,5.6,3.3
"Sunflower County, MS",County,-1451,-5.4,100,0.4,-14.5,3.1%,34.3%,6.5,5.1
"Warren County, MS",County,-3954,-8.3,70,0.1,-56.5,43.8%,25.0%,7.4,9
"Washington County, MS",County,-3218,-6.7,186,0.4,-17.3,42.8%,35.3%,3.4,2.9
"Yazoo County, MS",County,411,1.5,44,0.2,9.3,43.0%,0.0%,4.2,NA
"Adair County, MO",County,-177,-0.7,515,2,-0.3,59.3%,36.0%,3,4
"Audrain County, MO",County,-708,-2.7,190,0.7,-3.7,29.6%,39.8%,3.2,2.3
"Boone County, MO",County,11396,6.5,11072,6.3,1,31.3%,37.5%,3.3,10.4
"Buchanan County, MO",County,-1529,-1.7,1097,1.2,-1.4,28.3%,21.7%,3.3,3.2
"Butler County, MO",County,-1206,-2.8,206,0.5,-5.9,21.7%,36.9%,3.1,5.4
"Callaway County, MO",County,-611,-1.4,609,1.4,-1,26.1%,22.0%,3,3.6
"Cape Girardeau County, MO",County,-277,-0.4,2757,3.5,-0.1,32.8%,49.8%,3.9,9
"Cass County, MO",County,3964,3.9,3258,3.2,1.2,14.3%,18.5%,3.5,4.2
"Christian County, MO",County,1723,2.1,4183,5,0.4,25.3%,14.7%,4.4,3.5
"Clay County, MO",County,14574,6.2,3261,1.4,4.5,13.6%,24.0%,3.8,12.9
"Cole County, MO",County,-1142,-1.5,1908,2.5,-0.6,19.6%,19.6%,3.3,3.8
"Dunklin County, MO",County,-338,-1.1,142,0.5,-2.4,23.2%,1.0%,3.3,2
"Franklin County, MO",County,1275,1.2,3172,3.1,0.4,13.8%,11.2%,3.5,3.9
"Greene County, MO",County,12485,4.4,12452,4.3,1,25.5%,51.6%,6.8,17.1
"Howell County, MO",County,-183,-0.5,384,1,-0.5,22.1%,54.7%,3.2,3.2
"Jackson County, MO",County,670,0.1,27175,3.9,0,24.4%,53.5%,5.2,10.4
"Jasper County, MO",County,-1514,-1.3,3813,3.2,-0.4,24.2%,26.8%,3.6,4.4
"Jefferson County, MO",County,879,0.4,5753,2.6,0.2,3.1%,10.1%,3.7,6.6
"Johnson County, MO",County,-89,-0.2,1035,1.9,-0.1,49.4%,50.1%,4.6,5.3
"Laclede County, MO",County,84,0.2,361,1,0.2,31.4%,54.0%,3.1,2.6
"Lafayette County, MO",County,-313,-1,334,1,-0.9,9.3%,3.3%,6,2.2
"Lincoln County, MO",County,1152,2.1,1008,1.8,1.1,12.4%,10.5%,3.6,4.1
"Marion County, MO",County,305,1.1,502,1.7,0.6,26.4%,9.8%,3,2.4
"Newton County, MO",County,625,1.1,428,0.7,1.5,21.4%,16.8%,5,2.4
"Pettis County, MO",County,259,0.6,217,0.5,1.2,47.2%,65.6%,4.7,7.1
"Phelps County, MO",County,1203,2.7,1210,2.7,1,55.5%,61.4%,3.4,4.7
"Platte County, MO",County,7414,7.7,2561,2.6,2.9,12.7%,15.5%,3.4,5.2
"Polk County, MO",County,470,1.5,375,1.2,1.3,39.8%,5.3%,2.8,3.3
"Pulaski County, MO",County,-540,-1,1420,2.7,-0.4,36.4%,48.3%,4.1,7
"St. Charles County, MO",County,24849,6.5,19824,5.1,1.3,11.7%,23.6%,6.4,8.4
"St. Francois County, MO",County,219,0.3,2507,3.8,0.1,35.7%,66.6%,4.7,4.5
"St. Louis County, MO",County,3747,0.4,11114,1.1,0.3,17.2%,26.8%,5.9,24.8
"Scott County, MO",County,1669,4.3,530,1.4,3.1,23.5%,21.8%,2.7,2.9
"Stone County, MO",County,-429,-1.4,1281,4.1,-0.3,24.7%,22.3%,4.1,10.3
"Taney County, MO",County,1171,2.2,2764,5.1,0.4,47.0%,51.8%,8.4,8.4
"Warren County, MO",County,733,2.2,1532,4.6,0.5,10.1%,4.5%,4.2,4.4
"Webster County, MO",County,866,2.3,514,1.4,1.7,28.3%,27.2%,3.3,2.6
"St. Louis (Independent City), MO",County,-4733,-1.5,5398,1.7,-0.9,66.8%,75.7%,8.7,21.4
"Cascade County, MT",County,-322,-0.4,2037,2.5,-0.2,23.3%,24.0%,6.5,9.3
"Flathead County, MT",County,2732,2.8,2386,2.5,1.1,29.8%,33.0%,4.1,4.9
"Gallatin County, MT",County,12883,12.8,10733,10.7,1.2,43.1%,36.9%,3.9,5
"Lewis and Clark County, MT",County,955,1.4,1748,2.6,0.5,53.6%,60.5%,4.3,4
"Missoula County, MT",County,5209,4.6,5805,5.1,0.9,44.0%,47.1%,6,9.9
"Silver Bow County, MT",County,68,0.2,836,2.4,0.1,34.5%,35.5%,5.3,5.9
"Yellowstone County, MT",County,3514,2.2,10214,6.5,0.3,21.5%,24.2%,6.8,13.2
"Adams County, NE",County,-299,-0.9,903,2.9,-0.3,39.0%,22.7%,6.9,2.6
"Buffalo County, NE",County,1605,3.3,1884,3.9,0.9,38.6%,25.9%,7.6,6.7
"Cass County, NE",County,936,3.7,825,3.2,1.1,8.0%,3.1%,5.7,2
"Dodge County, NE",County,511,1.4,543,1.5,0.9,30.1%,9.2%,5.4,4.5
"Douglas County, NE",County,18382,3.3,25127,4.6,0.7,28.0%,39.4%,13.3,22.5
"Hall County, NE",County,1013,1.7,2065,3.4,0.5,37.1%,41.5%,5.3,5.2
"Lancaster County, NE",County,13663,4.5,16372,5.3,0.8,33.2%,40.0%,10.1,18.9
"Lincoln County, NE",County,-341,-1,551,1.5,-0.6,24.0%,9.4%,4.9,2.4
"Madison County, NE",County,844,2.4,703,2,1.2,32.1%,17.5%,6.4,3.5
"Platte County, NE",County,-129,-0.4,752,2.3,-0.2,37.8%,18.5%,5.9,2.1
"Sarpy County, NE",County,9415,5.4,10787,6.2,0.9,22.3%,17.1%,15.3,23.8
"Scotts Bluff County, NE",County,-547,-1.5,218,0.6,-2.5,33.4%,21.1%,6.2,3.8
"Clark County, NV",County,90358,4.3,92592,4.4,1,27.3%,33.1%,9.3,17.8
"Douglas County, NV",County,-808,-1.7,1215,2.6,-0.7,9.6%,6.2%,4,9.8
"Elko County, NV",County,1033,2,2480,4.7,0.4,10.7%,25.4%,4.1,8.3
"Lyon County, NV",County,-706,-1.3,1517,2.9,-0.5,9.4%,3.5%,4.5,4.6
"Washoe County, NV",County,13489,3,22037,4.9,0.6,21.7%,34.6%,10,12.9
"Carson City (Independent City), NV",County,-704,-1.3,878,1.6,-0.8,16.4%,37.0%,6.6,9.5
"Belknap County, NH",County,-889,-1.5,1898,3.1,-0.5,6.4%,15.5%,3.5,8.1
"Cheshire County, NH",County,-1583,-2.1,1319,1.7,-1.2,13.7%,30.6%,6.9,10.6
"Coos County, NH",County,-1590,-5,490,1.5,-3.2,14.9%,10.4%,4.7,4.3
"Grafton County, NH",County,1216,1.4,2319,2.6,0.5,12.2%,31.0%,5.1,11.2
"Hillsborough County, NH",County,7976,2,8509,2.1,0.9,18.3%,37.5%,7.1,9.9
"Merrimack County, NH",County,3525,2.4,2460,1.7,1.4,10.1%,15.9%,6.9,6.6
"Sullivan County, NH",County,162,0.4,587,1.4,0.3,4.4%,6.8%,3.2,4.8
"Atlantic County, NJ",County,-17105,-6.3,6777,2.5,-2.5,9.8%,34.0%,6.4,12.3
"Cape May County, NJ",County,-8,0,5809,6.1,0,41.3%,35.1%,2.6,3
"Cumberland County, NJ",County,-2367,-1.5,1844,1.2,-1.3,10.2%,9.2%,5.4,5.7
"Mercer County, NJ",County,22288,6,5837,1.6,3.8,18.5%,60.1%,16.5,11.2
"Bernalillo County, NM",County,-2992,-0.4,13136,1.9,-0.2,17.3%,24.1%,12,13.3
"Chaves County, NM",County,-1114,-1.7,631,1,-1.8,7.9%,18.6%,3.3,13.5
"Curry County, NM",County,68,0.1,1530,3,0,8.4%,28.8%,4.1,5.5
"Dona Ana County, NM",County,3618,1.7,8730,4.1,0.4,18.8%,13.0%,10,7.1
"Eddy County, NM",County,7122,12.5,2371,4.2,3,11.0%,43.7%,3.1,6.8
"Lea County, NM",County,2198,3.2,1495,2.2,1.5,46.7%,34.8%,5.3,7
"McKinley County, NM",County,-1309,-1.8,69,0.1,-19,40.5%,41.6%,7.4,6.8
"Otero County, NM",County,-354,-0.5,21,0,-16.9,23.7%,6.5%,8.9,6.2
"Sandoval County, NM",County,407,0.3,7431,5.4,0.1,2.7%,7.8%,4.9,4
"San Juan County, NM",County,-4983,-3.9,1608,1.3,-3.1,7.1%,7.3%,5.5,6.9
"Santa Fe County, NM",County,-4467,-3,1487,1,-3,15.3%,2.3%,5.7,4.9
"Taos County, NM",County,-458,-1.4,787,2.4,-0.6,2.0%,4.9%,3,4.6
"Valencia County, NM",County,-676,-0.9,958,1.3,-0.7,0.3%,0.2%,3,3
"Albany County, NY",County,6434,2.1,6084,2,1.1,30.0%,48.4%,8,10
"Bronx County, NY",County,94160,6.5,28686,2,3.3,97.6%,99.0%,4.3,13.9
"Broome County, NY",County,-8964,-4.6,1418,0.7,-6.3,14.6%,40.3%,8.6,6.4
"Cattaraugus County, NY",County,-2293,-2.9,837,1.1,-2.7,12.4%,8.8%,6.1,5.3
"Cayuga County, NY",County,-1079,-1.4,1057,1.3,-1,3.4%,15.5%,5.3,4.6
"Chautauqua County, NY",County,-6318,-4.8,1305,1,-4.8,20.4%,20.6%,5,9.8
"Chemung County, NY",County,-3901,-4.5,973,1.1,-4,25.1%,46.9%,5.6,8.9
"Clinton County, NY",County,-194,-0.2,1305,1.6,-0.1,9.0%,35.3%,6.2,6.9
"Columbia County, NY",County,962,1.6,1137,1.8,0.8,11.0%,27.3%,8.2,8.4
"Cortland County, NY",County,472,1,499,1,0.9,17.0%,32.8%,6,12.3
"Dutchess County, NY",County,-2008,-0.7,3829,1.3,-0.5,13.9%,30.9%,7.4,13.2
"Erie County, NY",County,10655,1.2,13584,1.5,0.8,26.7%,39.5%,7.6,11.7
"Franklin County, NY",County,-864,-1.7,724,1.4,-1.2,6.3%,4.0%,4.6,5.4
"Fulton County, NY",County,-1105,-2,835,1.5,-1.3,4.5%,13.7%,10.3,26.3
"Genesee County, NY",County,-376,-0.6,526,0.9,-0.7,9.6%,40.4%,5.1,5.9
"Herkimer County, NY",County,120,0.2,806,1.3,0.1,9.4%,1.0%,16.6,2.6
"Jefferson County, NY",County,-1078,-0.9,2698,2.3,-0.4,5.4%,30.8%,8.7,7.4
"Kings County, NY",County,287998,10.9,66766,2.5,4.3,94.5%,99.6%,4.4,15.2
"Livingston County, NY",County,351,0.5,928,1.4,0.4,15.3%,38.4%,8.6,5.3
"Madison County, NY",County,-210,-0.3,952,1.3,-0.2,15.7%,10.3%,4.5,8
"Monroe County, NY",County,8668,1.2,11630,1.6,0.7,23.4%,33.5%,9.4,8.9
"Montgomery County, NY",County,195,0.4,657,1.3,0.3,9.3%,35.3%,7.3,8.9
"Nassau County, NY",County,29855,2.2,8402,0.6,3.6,29.7%,31.9%,6.2,14.9
"New York County, NY",County,87069,5.3,41822,2.5,2.1,100.0%,100.0%,73.1,76.3
"Niagara County, NY",County,319,0.1,2411,1.1,0.1,17.8%,25.1%,6.3,5.6
"Oneida County, NY",County,-4933,-2.1,2193,0.9,-2.2,12.3%,23.9%,7.1,9.1
"Onondaga County, NY",County,-5257,-1.1,9002,1.9,-0.6,16.2%,42.8%,7.1,17.3
"Ontario County, NY",County,3985,3.6,3796,3.5,1,19.5%,23.1%,6.6,7.1
"Orange County, NY",County,14235,3.8,9403,2.5,1.5,24.2%,46.4%,6.7,11.3
"Orleans County, NY",County,-665,-1.6,237,0.6,-2.8,9.7%,12.6%,6.7,9.4
"Oswego County, NY",County,472,0.4,1607,1.3,0.3,7.2%,6.6%,4,6
"Otsego County, NY",County,-368,-0.6,872,1.4,-0.4,58.7%,31.9%,2.1,18.4
"Putnam County, NY",County,470,0.5,717,0.7,0.7,14.6%,27.8%,8.1,5.4
"Queens County, NY",County,200122,8.6,41700,1.8,4.8,94.7%,96.9%,3.7,9.3
"Rensselaer County, NY",County,1086,0.7,2532,1.6,0.4,23.3%,38.3%,10.2,6.8
"Richmond County, NY",County,29306,6.2,6977,1.5,4.2,49.2%,67.7%,2.2,3.1
"Rockland County, NY",County,10171,3.1,3559,1.1,2.9,32.9%,62.6%,5.7,5.3
"St. Lawrence County, NY",County,-1347,-1.2,1793,1.6,-0.8,9.2%,14.0%,4,5.7
"Saratoga County, NY",County,12374,5.5,10818,4.8,1.1,16.3%,39.5%,6.6,8.2
"Schenectady County, NY",County,-1697,-1.1,2366,1.5,-0.7,31.8%,62.7%,7.4,11.4
"Schoharie County, NY",County,6,0,300,0.9,0,14.5%,23.9%,9.6,6.9
"Seneca County, NY",County,1400,4,543,1.6,2.6,10.4%,27.5%,2.9,23.5
"Steuben County, NY",County,-1068,-1.1,1227,1.3,-0.9,13.2%,19.3%,6.5,21.6
"Suffolk County, NY",County,37561,2.5,10890,0.7,3.4,14.3%,14.2%,6.4,11.2
"Tioga County, NY",County,-1395,-2.8,630,1.3,-2.2,6.4%,19.7%,4.2,11.3
"Tompkins County, NY",County,-106,-0.1,3350,3.2,0,38.0%,60.3%,5.4,8.2
"Ulster County, NY",County,570,0.3,2652,1.5,0.2,13.2%,35.8%,5.5,8.8
"Warren County, NY",County,263,0.4,1939,3,0.1,12.6%,23.1%,4.7,6.3
"Washington County, NY",County,-356,-0.6,1053,1.7,-0.3,17.5%,11.0%,7,11.6
"Wayne County, NY",County,-1957,-2.1,1089,1.2,-1.8,12.1%,18.5%,6.4,6.4
"Westchester County, NY",County,7826,0.8,8620,0.9,0.9,36.2%,68.1%,5.6,16.6
"Yates County, NY",County,227,0.9,545,2.2,0.4,8.1%,2.9%,4.1,4.2
"Alamance County, NC",County,1530,1,8516,5.4,0.2,21.0%,18.1%,6.4,15.7
"Alexander County, NC",County,-726,-2,700,1.9,-1,3.4%,4.8%,2.2,6
"Beaufort County, NC",County,-1702,-3.6,2089,4.4,-0.8,15.8%,9.2%,5.2,4.7
"Buncombe County, NC",County,17081,6.8,13240,5.2,1.3,26.5%,27.9%,5.9,14
"Burke County, NC",County,-2399,-2.7,1488,1.7,-1.6,9.8%,15.1%,3.2,6
"Cabarrus County, NC",County,10513,5.3,14058,7.1,0.7,13.9%,16.8%,8.3,17.3
"Caldwell County, NC",County,-1431,-1.7,1267,1.5,-1.1,4.6%,12.8%,5.1,9.3
"Carteret County, NC",County,89,0.1,3442,5,0,14.8%,17.4%,3.9,8.4
"Catawba County, NC",County,2835,1.8,3007,1.9,0.9,20.0%,14.6%,6.2,6.7
"Chatham County, NC",County,-1595,-2.3,5029,7.4,-0.3,9.4%,1.4%,5.5,2
"Cleveland County, NC",County,1624,1.7,1301,1.3,1.2,17.2%,11.6%,5.7,6.9
"Craven County, NC",County,-2190,-2.1,3226,3.1,-0.7,13.3%,8.8%,5.3,11.4
"Cumberland County, NC",County,-163,0,15507,4.7,0,28.1%,40.2%,11,15.9
"Dare County, NC",County,-151,-0.4,2304,6.5,-0.1,5.0%,7.6%,5.7,9.7
"Davidson County, NC",County,1286,0.8,4412,2.7,0.3,8.8%,4.9%,4.8,7.2
"Davie County, NC",County,2225,5.3,1332,3.2,1.7,0.6%,24.9%,2.7,14.5
"Durham County, NC",County,21405,7.1,24801,8.2,0.9,38.4%,41.6%,12.6,23
"Edgecombe County, NC",County,-4037,-7.5,436,0.8,-9.3,11.0%,23.3%,2.7,4.8
"Forsyth County, NC",County,1209,0.3,15269,4.1,0.1,19.0%,21.0%,13.4,18.8
"Franklin County, NC",County,713,1.1,3239,5.1,0.2,2.1%,1.4%,3.5,2
"Gaston County, NC",County,5347,2.5,8178,3.8,0.7,23.4%,12.0%,8.6,11.8
"Granville County, NC",County,940,1.6,2303,3.9,0.4,16.2%,3.6%,4.7,3.4
"Guilford County, NC",County,2877,0.6,18438,3.6,0.2,21.9%,36.2%,11.3,16.6
"Halifax County, NC",County,-2264,-4.3,743,1.4,-3,24.4%,27.3%,4.2,11.6
"Harnett County, NC",County,1475,1.1,7270,5.6,0.2,8.4%,0.9%,4.3,7.6
"Haywood County, NC",County,403,0.7,1489,2.5,0.3,3.0%,16.1%,3.8,12.6
"Henderson County, NC",County,2477,2.2,4637,4.1,0.5,14.7%,10.5%,4.1,15.9
"Hoke County, NC",County,46,0.1,3685,7,0,2.0%,8.1%,2.1,12.6
"Iredell County, NC",County,8067,4.8,9851,5.8,0.8,21.8%,16.4%,9.4,17.3
"Jackson County, NC",County,-42,-0.1,2371,5.7,0,17.5%,26.2%,7.6,13.4
"Johnston County, NC",County,4508,2.4,13479,7.2,0.3,8.4%,0.8%,4.1,2.7
"Lee County, NC",County,-438,-0.7,1071,1.8,-0.4,21.8%,8.0%,5.9,24
"Lenoir County, NC",County,1127,1.9,570,1,2,15.0%,29.5%,4,5.9
"Lincoln County, NC",County,1227,1.5,4437,5.5,0.3,10.1%,8.1%,3.5,4.1
"McDowell County, NC",County,324,0.7,1104,2.4,0.3,15.3%,8.9%,4.4,11.7
"Mecklenburg County, NC",County,127468,12.3,78800,7.6,1.6,29.3%,50.7%,12.3,27.1
"Moore County, NC",County,4379,4.6,5445,5.8,0.8,8.7%,3.1%,7.1,3.9
"Nash County, NC",County,-3460,-3.7,1879,2,-1.8,18.6%,3.7%,3.9,2
"New Hanover County, NC",County,10829,4.9,15325,7,0.7,25.1%,40.7%,8.8,15.8
"Onslow County, NC",County,2525,1.3,15279,7.9,0.2,15.6%,11.7%,5.7,6.1
"Orange County, NC",County,10450,7.4,5632,4,1.9,14.0%,34.6%,8.3,16.3
"Pasquotank County, NC",County,-2157,-5.5,896,2.3,-2.4,10.0%,17.2%,5,17.4
"Pender County, NC",County,1367,2.4,3764,6.5,0.4,5.8%,4.5%,3.9,5.5
"Person County, NC",County,-763,-1.9,760,1.9,-1,5.8%,7.7%,3.1,7.5
"Pitt County, NC",County,4402,2.5,7486,4.2,0.6,47.9%,44.3%,8,6.2
"Randolph County, NC",County,-3024,-2.1,2737,1.9,-1.1,19.7%,11.5%,4.7,6.6
"Richmond County, NC",County,-1557,-3.4,1703,3.7,-0.9,6.0%,37.6%,5.9,5.6
"Robeson County, NC",County,-3537,-2.6,1200,0.9,-2.9,13.2%,5.7%,5.9,4.4
"Rockingham County, NC",County,-3999,-4.4,1627,1.8,-2.5,16.7%,20.0%,9.9,10.9
"Rowan County, NC",County,294,0.2,2741,2,0.1,16.9%,7.6%,5.6,7.1
"Rutherford County, NC",County,-4483,-6.7,1225,1.8,-3.7,7.2%,3.2%,3.6,4.8
"Scotland County, NC",County,-2210,-6.2,288,0.8,-7.7,22.7%,29.2%,5.1,8
"Stanly County, NC",County,-227,-0.4,1528,2.5,-0.1,11.3%,11.0%,3.5,4.4
"Stokes County, NC",County,155,0.3,721,1.6,0.2,7.8%,12.6%,4.1,2.2
"Surry County, NC",County,-968,-1.3,1133,1.6,-0.9,7.1%,13.6%,7.7,15.2
"Transylvania County, NC",County,-447,-1.3,961,2.9,-0.5,2.1%,7.0%,5.1,6.9
"Union County, NC",County,6503,2.9,12294,5.5,0.5,4.3%,0.1%,7,5.8
"Vance County, NC",County,-1819,-4.1,470,1.1,-3.9,12.6%,5.4%,3.5,8
"Wake County, NC",County,108844,10.6,91390,8.9,1.2,22.6%,34.3%,12.8,29.1
"Watauga County, NC",County,2164,4.1,2795,5.2,0.8,21.7%,31.6%,6.7,11.3
"Wayne County, NC",County,-3591,-2.9,2612,2.1,-1.4,9.3%,6.2%,3.4,2.2
"Wilkes County, NC",County,-534,-0.8,1180,1.7,-0.5,7.4%,11.1%,5.5,18
"Wilson County, NC",County,-3171,-3.9,1740,2.1,-1.8,22.8%,23.4%,2.6,8
"Yadkin County, NC",County,434,1.1,338,0.9,1.3,5.4%,1.5%,3.9,6
"Burleigh County, ND",County,5840,6.3,7748,8.4,0.8,34.3%,31.0%,9.4,13.2
"Cass County, ND",County,18463,10.8,19207,11.3,1,54.8%,53.0%,15.9,31.6
"Grand Forks County, ND",County,1726,2.5,4537,6.5,0.4,44.6%,64.7%,15.9,29.8
"Morton County, ND",County,2298,7.6,3140,10.4,0.7,23.2%,43.1%,7,13.2
"Stark County, ND",County,6659,22,4100,13.5,1.6,31.5%,43.7%,5.5,15.4
"Ward County, ND",County,3142,4.5,6639,9.5,0.5,43.2%,57.7%,9.2,15.8
"Williams County, ND",County,15923,48.4,9193,27.9,1.7,3.6%,68.0%,2.3,22.6
"Allen County, OH",County,-1629,-1.6,898,0.9,-1.8,18.8%,27.0%,3.9,3.7
"Ashland County, OH",County,644,1.2,498,0.9,1.3,13.0%,7.5%,4.7,3.1
"Ashtabula County, OH",County,-864,-0.9,846,0.9,-1,6.1%,10.7%,6.9,2.2
"Athens County, OH",County,776,1.2,553,0.8,1.4,61.0%,79.2%,5.8,12
"Auglaize County, OH",County,1952,4.3,915,2,2.1,8.4%,13.7%,2.6,3
"Brown County, OH",County,45,0.1,607,1.4,0.1,11.2%,26.2%,3.6,2.8
"Butler County, OH",County,8172,2.2,7229,1.9,1.1,19.0%,16.5%,6.2,6.7
"Carroll County, OH",County,105,0.4,19,0.1,5.5,32.7%,0.0%,4.8,NA
"Champaign County, OH",County,501,1.3,330,0.8,1.5,2.5%,0.0%,3,NA
"Clark County, OH",County,-2996,-2.2,815,0.6,-3.7,15.5%,33.7%,5.4,5
"Clermont County, OH",County,2932,1.5,5423,2.7,0.5,21.3%,29.6%,8.5,10.6
"Clinton County, OH",County,-7460,-17.8,341,0.8,-21.9,8.5%,10.8%,3.4,4.2
"Columbiana County, OH",County,-1811,-1.7,397,0.4,-4.6,35.6%,28.9%,5.4,5.4
"Coshocton County, OH",County,-1346,-3.7,42,0.1,-32,8.4%,25.0%,2.8,2
"Crawford County, OH",County,-1812,-4.3,93,0.2,-19.5,19.7%,27.8%,5.3,5.4
"Cuyahoga County, OH",County,-5568,-0.4,6984,0.6,-0.8,21.9%,16.7%,6.8,6.1
"Darke County, OH",County,596,1.1,380,0.7,1.6,17.5%,2.0%,2.9,2
"Defiance County, OH",County,-1128,-2.9,374,1,-3,14.4%,22.1%,2.8,2.7
"Delaware County, OH",County,18748,9.7,10185,5.3,1.8,18.1%,12.9%,10.6,4.8
"Erie County, OH",County,504,0.7,707,0.9,0.7,26.6%,10.1%,5.2,4.2
"Fairfield County, OH",County,3826,2.5,3956,2.6,1,15.4%,17.7%,5.5,6.3
"Fayette County, OH",County,-291,-1,313,1.1,-0.9,13.6%,13.7%,2.6,4.9
"Franklin County, OH",County,77113,6.2,47964,3.8,1.6,42.5%,64.3%,7.1,13.3
"Fulton County, OH",County,-1166,-2.8,511,1.2,-2.3,15.2%,18.1%,2.5,4.2
"Geauga County, OH",County,535,0.6,1342,1.4,0.4,1.8%,4.9%,2.5,15.8
"Greene County, OH",County,9316,5.7,4213,2.6,2.2,35.9%,21.6%,6.9,11.8
"Guernsey County, OH",County,1197,3,377,1,3.2,1.1%,3.3%,2,2.6
"Hamilton County, OH",County,2372,0.3,10218,1.3,0.2,38.8%,44.6%,10.2,15.2
"Hancock County, OH",County,3406,4.5,1044,1.4,3.3,10.5%,6.7%,2.1,4.7
"Hocking County, OH",County,-346,-1.2,161,0.6,-2.1,56.3%,64.8%,6.4,3.6
"Huron County, OH",County,-887,-1.5,479,0.8,-1.9,13.7%,39.4%,2.3,4.2
"Jackson County, OH",County,-905,-2.8,539,1.7,-1.7,12.5%,3.5%,4.6,3.4
"Knox County, OH",County,739,1.2,1310,2.1,0.6,7.0%,11.3%,3.8,5.2
"Lake County, OH",County,-4612,-2,3909,1.7,-1.2,17.7%,17.8%,4.5,13.3
"Licking County, OH",County,5760,3.4,2808,1.6,2.1,20.6%,12.1%,4.6,4.2
"Logan County, OH",County,-474,-1,667,1.5,-0.7,13.8%,15.1%,5.8,6.5
"Lorain County, OH",County,-367,-0.1,7988,2.6,0,11.8%,14.0%,4.1,5
"Lucas County, OH",County,-2792,-0.6,4763,1.1,-0.6,19.0%,32.3%,6.5,7.1
"Madison County, OH",County,3495,8,506,1.2,6.9,9.9%,2.1%,2.7,2.3
"Mahoning County, OH",County,-4671,-2,1292,0.6,-3.6,21.0%,2.6%,3.4,6.2
"Marion County, OH",County,-2235,-3.4,522,0.8,-4.3,26.5%,47.5%,7,7
"Medina County, OH",County,1082,0.6,5726,3.2,0.2,13.4%,9.3%,5.8,8.3
"Mercer County, OH",County,3218,7.9,690,1.7,4.7,22.7%,24.0%,2.9,6.5
"Miami County, OH",County,243,0.2,1403,1.3,0.2,14.5%,2.1%,3.2,2.5
"Montgomery County, OH",County,-6558,-1.2,4420,0.8,-1.5,30.2%,10.6%,6.8,6.9
"Morrow County, OH",County,-253,-0.7,402,1.2,-0.6,6.0%,2.8%,5.6,11
"Muskingum County, OH",County,-376,-0.4,553,0.6,-0.7,82.4%,69.8%,7.1,5.2
"Ottawa County, OH",County,-75,-0.2,1219,3,-0.1,3.8%,12.8%,2.9,7.9
"Perry County, OH",County,391,1.1,308,0.9,1.3,36.4%,7.7%,4.6,2.1
"Pickaway County, OH",County,-572,-1,675,1.2,-0.8,4.4%,16.7%,5.1,4.9
"Portage County, OH",County,1815,1.1,3157,1.9,0.6,20.1%,22.1%,4.4,14.8
"Richland County, OH",County,-4978,-4.1,632,0.5,-7.9,28.2%,16.9%,3.7,3
"Ross County, OH",County,2860,3.7,277,0.4,10.3,18.5%,12.9%,6,4.3
"Sandusky County, OH",County,-42,-0.1,394,0.7,-0.1,20.1%,16.3%,4.6,6.8
"Scioto County, OH",County,-853,-1.1,824,1.1,-1,66.0%,96.5%,7.9,6.2
"Seneca County, OH",County,-1268,-2.3,314,0.6,-4,11.4%,21.5%,2.6,6.4
"Shelby County, OH",County,-2056,-4.2,688,1.4,-3,16.0%,10.3%,2.3,3.3
"Stark County, OH",County,-464,-0.1,4872,1.3,-0.1,16.5%,19.3%,3.8,4.6
"Summit County, OH",County,-5632,-1,5519,1,-1,24.8%,11.0%,6.9,7.4
"Trumbull County, OH",County,-9316,-4.6,924,0.5,-10.1,26.3%,31.8%,2.9,4.9
"Tuscarawas County, OH",County,817,0.9,606,0.7,1.3,19.1%,14.0%,2.4,2.2
"Union County, OH",County,6709,12.3,3213,5.9,2.1,9.5%,8.1%,5.1,8
"Van Wert County, OH",County,255,0.9,324,1.1,0.8,5.3%,30.3%,2,6.7
"Warren County, OH",County,16743,7.5,10455,4.7,1.6,16.3%,17.5%,5.9,8.3
